Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
El Salvador,7.92,8.0,7.92,7.83,7.75,10.0,8.0,8.17,10.0,10.0,85.58
El Salvador,7.75,8.0,7.83,8.17,7.92,10.0,7.92,8.0,10.0,10.0,85.58
United States of America,7.75,7.92,7.83,8.0,8.08,10.0,8.0,8.0,10.0,10.0,85.58
Panama,7.83,7.83,8.0,8.58,7.67,10.0,7.83,7.75,10.0,10.0,85.5
Kenya,8.08,7.83,7.92,7.92,7.83,10.0,8.0,7.92,10.0,10.0,85.5
Ethiopia,7.92,7.83,7.83,8.08,7.83,10.0,8.0,8.0,10.0,10.0,85.5
Uganda,7.92,7.67,8.33,7.92,7.67,10.0,8.08,7.92,10.0,10.0,85.5
Guatemala,8.33,7.67,8.0,8.0,7.83,10.0,7.83,7.83,10.0,10.0,85.5
Ethiopia,8.17,7.83,7.75,7.83,7.92,10.0,8.08,7.83,10.0,10.0,85.42
Uganda,7.67,7.83,8.08,7.83,8.0,10.0,8.0,8.0,10.0,10.0,85.42
United States of America,7.92,7.75,7.92,7.92,7.75,10.0,8.25,7.92,10.0,10.0,85.42
Brazil,7.67,8.0,8.0,8.0,7.75,10.0,8.0,8.0,10.0,10.0,85.42
El Salvador,8.08,7.83,8.08,7.83,7.83,10.0,7.92,7.83,10.0,10.0,85.42
China,7.83,8.0,8.0,7.75,7.83,10.0,7.92,8.0,10.0,10.0,85.33
Guatemala,7.67,7.83,7.83,8.58,7.83,10.0,7.83,7.75,10.0,10.0,85.33
Costa Rica,7.92,8.0,7.92,8.08,8.0,10.0,8.0,8.08,9.33,10.0,85.33
Costa Rica,7.67,7.58,8.0,8.5,8.08,10.0,7.92,7.58,10.0,10.0,85.33
Kenya,8.08,7.75,7.83,7.75,7.92,10.0,7.92,8.08,10.0,10.0,85.33
Kenya,8.08,7.92,8.0,7.75,7.83,10.0,7.83,7.92,10.0,10.0,85.33
Ethiopia,8.08,7.92,7.83,7.83,7.75,10.0,8.08,7.83,10.0,10.0,85.33
Ethiopia,8.33,7.75,7.92,7.75,7.75,10.0,8.0,7.83,10.0,10.0,85.33
Guatemala,8.0,7.75,8.0,7.83,7.92,10.0,7.83,7.92,10.0,10.0,85.25
Colombia,8.0,7.83,8.17,7.83,7.58,10.0,7.92,7.92,10.0,10.0,85.25
Colombia,7.83,7.92,7.58,7.92,8.0,10.0,7.92,8.08,10.0,10.0,85.25
Indonesia,8.0,7.67,7.75,7.83,8.08,10.0,8.0,7.83,10.0,10.0,85.17
Guatemala,7.92,7.67,8.25,7.67,7.75,10.0,7.92,8.0,10.0,10.0,85.17
Ethiopia,8.0,7.58,7.75,7.92,8.0,10.0,7.83,8.0,10.0,10.0,85.08
Colombia,8.08,7.58,8.17,7.75,8.0,10.0,7.67,7.83,10.0,10.0,85.08
Ethiopia,8.0,7.42,8.42,7.92,7.92,10.0,8.08,8.0,10.0,9.33,85.08
United States of America,7.92,7.83,7.58,8.17,7.83,10.0,7.92,7.83,10.0,10.0,85.08
Colombia,7.75,7.75,7.83,7.83,7.83,10.0,8.08,8.0,10.0,10.0,85.08
United States of America,8.0,7.92,8.08,8.0,8.08,9.33,8.17,8.17,10.0,9.33,85.08
Ethiopia,8.0,7.83,7.67,7.83,7.92,10.0,7.83,8.0,10.0,10.0,85.08
United States of America,7.83,8.25,7.5,7.75,7.92,10.0,7.92,7.92,10.0,10.0,85.08
Uganda,7.75,7.75,8.17,7.75,7.67,10.0,8.0,7.92,10.0,10.0,85.0
Colombia,7.92,7.75,8.0,7.83,7.75,10.0,7.83,7.92,10.0,10.0,85.0
Costa Rica,7.92,7.58,7.83,7.83,7.92,10.0,7.92,8.0,10.0,10.0,85.0
